Score Section,Note,Value,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,Model Alt D,Model DHL
A  – Intro - Simple Meter,1,B,D,N,D,D,D,N,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,N,D,D,D,D,D,D,D,d
,2,W,N,D,D,N,N,D,N,N,N,N,N,N,N,N,N,N,N,D,D,N,N,N,N,N,D,N,N,N,N,N,D,N,d
,3,W,D,N,D,N,D,N,D,D,N,D,N,D,D,D,D,D,N,D,D,D,D,D,D,N,N,D,N,D,D,N,D,D,d
,4,W,N,D,D,N,N,N,N,D,D,D,D,D,N,D,D,N,D,D,D,N,D,N,D,N,D,N,N,N,N,N,D,N,d
,5,B,D,N,D,D,D,D,D,N,N,N,N,N,D,N,N,D,N,D,D,D,N,D,N,D,N,D,D,D,D,D,D,D,d
,6,B,D,N,D,D,N,N,N,D,D,D,D,D,D,D,D,D,D,D,D,N,D,D,D,D,D,N,N,N,N,N,D,N,d
,7,B,N,D,D,D,D,N,D,N,D,N,D,N,N,N,D,N,D,D,D,D,D,D,D,D,D,N,N,D,D,N,D,D,d
,8,B,D,N,D,D,N,N,N,D,D,D,D,D,D,D,D,D,D,D,D,N,D,D,D,D,D,N,N,N,N,D,D,N,d
,9,W,N,D,D,N,D,D,D,N,N,N,D,N,N,N,N,N,N,D,D,D,N,N,N,D,N,D,D,D,D,N,D,D,d
,10,B,D,N,D,D,N,N,N,D,D,D,D,D,D,D,D,D,D,D,D,N,D,D,D,D,D,N,N,N,N,D,D,N,d
A1 – Simple Sync,11,T,N,D,D,N,D,D,D,N,N,D,N,N,N,N,D,N,D,N,D,N,D,N,D,N,N,N,N,D,D,D,D,D,n
,12,T,N,N,D,N,N,D,N,D,N,D,N,D,D,N,N,N,D,N,D,N,D,N,D,N,N,N,N,N,N,D,D,N,n
,13,W,D,D,N,D,D,N,D,N,D,N,D,N,N,D,D,D,N,D,D,D,N,D,N,D,D,D,D,D,D,N,D,D,d
,14,T,N,N,N,N,N,D,N,D,N,D,N,D,D,N,N,N,D,N,D,N,D,N,D,N,N,N,N,N,N,D,D,N,n
,15,W,D,D,D,D,D,N,D,N,D,N,D,N,N,D,D,D,N,D,D,D,N,D,N,D,D,D,D,D,D,N,N,D,d
B – Incrased Rhythmic Complexity,16,B,D,N,D,D,D,N,N,D,D,D,D,D,D,D,D,D,D,D,D,N,D,D,D,D,D,D,D,D,N,D,D,N,d
,17,T,N,D,N,N,N,D,D,G,N,N,N,N,N,N,N,N,N,N,N,D,N,N,N,N,N,N,N,N,D,N,N,D,n
,18,W,D,N,D,D,D,N,N,N,D,D,D,D,D,D,D,D,D,D,D,N,D,D,D,D,D,D,D,D,N,D,D,N,d
,19,T,N,D,N,N,N,D,D,G,N,N,N,N,N,N,N,N,N,N,N,D,N,N,N,N,N,N,N,N,D,N,N,D,n
,20,B,D,N,D,D,D,N,N,D,D,D,D,D,D,D,D,D,D,D,D,N,D,D,D,D,D,D,D,D,N,D,D,N,d
,21,S,N,D,N,N,N,D,D,N,N,N,N,N,N,N,N,N,N,N,N,D,N,N,N,N,N,N,N,N,D,N,N,D,n
,22,T,D,N,D,D,D,N,N,D,D,D,D,D,D,D,D,D,D,D,D,N,D,D,D,D,D,D,D,D,N,D,D,N,d
,23,W,D,N,D,D,N,N,D,N,D,D,D,N,N,D,D,D,N,D,D,D,D,D,N,D,N,N,D,N,D,N,D,D,d
,24,S,N,D,N,N,D,D,N,D,N,N,N,D,D,N,N,N,D,N,N,N,N,N,D,N,D,D,N,D,N,D,N,N,n
,25,T,D,N,D,D,N,N,D,N,D,D,D,N,N,D,D,D,N,D,D,D,D,D,N,D,N,N,D,N,D,N,D,D,d
